Wall time,Step,Value
1770146770.473638,113,9.208658218383789
1770146861.830083,227,7.040250301361084
1770146952.811628,341,3.0887656211853027
1770147042.918037,455,1.872072458267212
1770147135.2749264,569,1.2334330081939697
1770147226.4599419,683,1.0185695886611938
1770147320.0911906,797,0.8550480008125305
1770147411.106061,911,0.7799396514892578
1770147502.028646,1025,0.697898805141449
1770147593.1798236,1139,0.6294776797294617
1770147683.6796281,1253,0.5774573683738708
1770147774.5923831,1367,0.535686731338501
1770147865.626029,1481,0.4978843033313751
1770147956.1542017,1595,0.46312814950942993
1770148045.9560351,1709,0.4381650686264038
1770148135.6963983,1823,0.4148004651069641
1770148225.1289997,1937,0.39225342869758606
1770148316.8774457,2051,0.3728284239768982
1770148406.5006459,2165,0.3579557240009308
1770148496.007319,2279,0.34624916315078735
1770148587.028998,2393,0.33033454418182373
1770148676.5322175,2507,0.3239549696445465
1770148766.9156194,2621,0.3143308460712433
1770148856.4744852,2735,0.30313393473625183
1770148946.9352605,2849,0.29597121477127075
1770149038.0588908,2963,0.2911888659000397
1770149129.8575826,3077,0.2822346091270447
1770149220.0146267,3191,0.27683043479919434
1770149309.5124726,3305,0.27166303992271423
1770149400.3412054,3419,0.2655169665813446
1770149490.859107,3533,0.26039692759513855
1770149581.7198458,3647,0.25468480587005615
1770149671.9747107,3761,0.2504127025604248
1770149761.8352172,3875,0.24691025912761688
1770149852.0558996,3989,0.24200542271137238
1770149943.5359263,4103,0.23769864439964294
1770150033.2829413,4217,0.2336450219154358
1770150125.2778225,4331,0.23155374825000763
1770150215.691618,4445,0.22715218365192413
1770150305.78301,4559,0.2230289727449417
1770150396.7247047,4673,0.22086745500564575
1770150489.9094071,4787,0.2185673713684082
1770150581.1591098,4901,0.21526417136192322
1770150672.1993806,5015,0.21355290710926056
1770150763.1019917,5129,0.21033619344234467
1770150853.9322555,5243,0.20830290019512177
1770150944.368749,5357,0.2060009241104126
1770151035.4198055,5471,0.20413288474082947
1770151126.1077726,5585,0.20096467435359955
1770151216.6664002,5699,0.20051723718643188
1770151306.7398546,5813,0.19767509400844574
1770151397.233059,5927,0.19616158306598663
1770151489.4436204,6041,0.1937749832868576
1770151578.9411566,6155,0.19214580953121185
1770151669.6947577,6269,0.19121667742729187
1770151760.4136658,6383,0.1894519329071045
1770151850.817498,6497,0.18760691583156586
1770151941.338777,6611,0.18581880629062653
1770152031.5099103,6725,0.18543298542499542
1770152122.202053,6839,0.18318285048007965
1770152213.4532485,6953,0.18202704191207886
1770152305.4664576,7067,0.18046225607395172
1770152396.2147708,7181,0.17967140674591064
1770152487.4771433,7295,0.17895063757896423
1770152577.8790088,7409,0.1780613213777542
1770152668.1850255,7523,0.17593544721603394
1770152757.9659383,7637,0.1748877763748169
1770152847.65649,7751,0.1733551025390625
1770152937.9939027,7865,0.17429079115390778
1770153029.622626,7979,0.17178791761398315
1770153120.7903643,8093,0.17050613462924957
1770153210.2285535,8207,0.16847658157348633
1770153300.2372046,8321,0.16878876090049744
1770153389.4354775,8435,0.16813351213932037
1770153478.3390799,8549,0.16681131720542908
1770153568.1019158,8663,0.16626963019371033
1770153657.5451243,8777,0.1650448441505432
1770153748.1571229,8891,0.164006769657135
1770153838.465808,9005,0.16423098742961884
1770153929.1703217,9119,0.1628347933292389
1770154018.673538,9233,0.16227123141288757
1770154107.6626544,9347,0.1607120782136917
1770154196.2968745,9461,0.1599382907152176
1770154286.248702,9575,0.15977035462856293
1770154376.6088297,9689,0.15865357220172882
1770154466.493642,9803,0.15810295939445496
1770154556.441473,9917,0.15704041719436646
1770154646.4319115,10031,0.15645045042037964
1770154736.8948874,10145,0.15708871185779572
1770154826.2980645,10259,0.15582802891731262
1770154916.9986072,10373,0.15454892814159393
1770155006.1670005,10487,0.15461641550064087
1770155096.0718336,10601,0.1542900651693344
1770155185.7399936,10715,0.1521788090467453
1770155275.7842875,10829,0.15240837633609772
1770155366.8947868,10943,0.15088988840579987
1770155459.2020445,11057,0.15078070759773254
1770155550.251669,11171,0.15055808424949646
1770155642.7244165,11285,0.15013974905014038
1770155733.1945057,11399,0.14918529987335205
1770155824.0005403,11513,0.14865311980247498
1770155914.604064,11627,0.14747199416160583
1770156004.9443896,11741,0.1467812955379486
1770156094.5148022,11855,0.1473289579153061
1770156186.0312276,11969,0.14578740298748016
1770156277.244085,12083,0.14610590040683746
1770156367.9636285,12197,0.1454019844532013
1770156459.231347,12311,0.14419853687286377
1770156550.7419229,12425,0.14511972665786743
1770156640.9010441,12539,0.14409321546554565
1770156732.6844995,12653,0.1438012570142746
1770156823.0463789,12767,0.14313533902168274
1770156914.5050306,12881,0.14286713302135468
1770157005.5344567,12995,0.14210611581802368
1770157104.4305346,13109,0.14189037680625916
1770157193.9831555,13223,0.1404154896736145
