Wall time,Step,Value
1770146770.473714,113,0.5956827402114868
1770146861.8301609,227,0.48995813727378845
1770146952.8117225,341,0.44800588488578796
1770147042.918127,455,0.4180394113063812
1770147135.275004,569,0.39184167981147766
1770147226.460022,683,0.3522944152355194
1770147320.0912633,797,0.3207765817642212
1770147411.1061382,911,0.29804179072380066
1770147502.0287209,1025,0.28072360157966614
1770147593.1799173,1139,0.2674533426761627
1770147683.6797209,1253,0.2551731467247009
1770147774.5924642,1367,0.24649503827095032
1770147865.6261265,1481,0.2376263290643692
1770147956.154274,1595,0.22895435988903046
1770148045.9561262,1709,0.22274842858314514
1770148135.6964767,1823,0.21640357375144958
1770148225.129089,1937,0.2111283391714096
1770148316.8775275,2051,0.20509713888168335
1770148406.5007381,2165,0.20089882612228394
1770148496.0073922,2279,0.19687692821025848
1770148587.0290737,2393,0.1923646628856659
1770148676.5322902,2507,0.1880485564470291
1770148766.9156907,2621,0.18568114936351776
1770148856.4745717,2735,0.18142671883106232
1770148946.9353304,2849,0.17827863991260529
1770149038.058965,2963,0.1762385368347168
1770149129.857655,3077,0.17243912816047668
1770149220.0147045,3191,0.16964930295944214
1770149309.5125592,3305,0.1678527444601059
1770149400.3412986,3419,0.16513453423976898
1770149490.8591805,3533,0.16329622268676758
1770149581.719922,3647,0.15986333787441254
1770149671.9747984,3761,0.1580859124660492
1770149761.8353078,3875,0.15625566244125366
1770149852.0559716,3989,0.15436211228370667
1770149943.5359986,4103,0.15246272087097168
1770150033.2830153,4217,0.1501818746328354
1770150125.2778966,4331,0.14906352758407593
1770150215.6916976,4445,0.14728759229183197
1770150305.7830985,4559,0.1447950154542923
1770150396.7247913,4673,0.14403733611106873
1770150489.9094794,4787,0.14294831454753876
1770150581.159182,4901,0.14072102308273315
1770150672.1994536,5015,0.14001363515853882
1770150763.1020632,5129,0.13808424770832062
1770150853.93233,5243,0.137216255068779
1770150944.3688235,5357,0.13591918349266052
1770151035.419903,5471,0.13475637137889862
1770151126.107862,5585,0.13260452449321747
1770151216.6664732,5699,0.13243497908115387
1770151306.7399266,5813,0.1310117244720459
1770151397.233137,5927,0.1300482600927353
1770151489.4436927,6041,0.12856391072273254
1770151578.941226,6155,0.12762373685836792
1770151669.6948788,6269,0.1267421394586563
1770151760.4137511,6383,0.125828355550766
1770151850.8175712,6497,0.1245540976524353
1770151941.3388486,6611,0.12368045002222061
1770152031.509988,6725,0.12330556660890579
1770152122.202138,6839,0.12206035107374191
1770152213.4533436,6953,0.12108247727155685
1770152305.4735582,7067,0.12002050131559372
1770152396.2148418,7181,0.11979193240404129
1770152487.4772139,7295,0.11935296654701233
1770152577.8790846,7409,0.11869648844003677
1770152668.1850982,7523,0.117436483502388
1770152757.9660268,7637,0.11647386848926544
1770152847.6565788,7751,0.11546240746974945
1770152937.9939742,7865,0.11637750267982483
1770153029.622712,7979,0.11439058929681778
1770153120.7904353,8093,0.1137811690568924
1770153210.2286274,8207,0.1121617928147316
1770153300.237311,8321,0.11238574981689453
1770153389.435564,8435,0.11214287579059601
1770153478.3391767,8549,0.11119356751441956
1770153568.1019857,8663,0.11057785153388977
1770153657.5451944,8777,0.11014574021100998
1770153748.1571898,8891,0.10926562547683716
1770153838.4658754,9005,0.10950326919555664
1770153929.1703904,9119,0.10832305997610092
1770154018.673601,9233,0.10823087394237518
1770154107.6627398,9347,0.10716012865304947
1770154196.296947,9461,0.10638897866010666
1770154286.248794,9575,0.10639338195323944
1770154376.6089242,9689,0.10554011911153793
1770154466.49371,9803,0.1051756739616394
1770154556.4415662,9917,0.10444168746471405
1770154646.4319844,10031,0.10425525903701782
1770154736.8949773,10145,0.10445898771286011
1770154826.2981558,10259,0.10365549474954605
1770154916.9986818,10373,0.10267000645399094
1770155006.1670728,10487,0.10292698442935944
1770155096.0719266,10601,0.10265686362981796
1770155185.7400684,10715,0.10113292932510376
1770155275.7843606,10829,0.10116980224847794
1770155366.8948977,10943,0.10018446296453476
1770155459.2021198,11057,0.10015516728162766
1770155550.2517507,11171,0.09989439696073532
1770155642.7245123,11285,0.09969007223844528
1770155733.1945827,11399,0.09897541254758835
1770155824.0006294,11513,0.09865317493677139
1770155914.604153,11627,0.09779031574726105
1770156004.944495,11741,0.09729499369859695
1770156094.5149002,11855,0.09798234701156616
1770156186.0312955,11969,0.09666541963815689
1770156277.2441528,12083,0.09698787331581116
1770156367.9637172,12197,0.09650416672229767
1770156459.2314227,12311,0.09561348706483841
1770156550.742004,12425,0.09617793560028076
1770156640.901122,12539,0.09546831250190735
1770156732.6845665,12653,0.095388263463974
1770156823.0464473,12767,0.09478837996721268
1770156914.5050986,12881,0.09465520083904266
1770157005.5345235,12995,0.0942460298538208
1770157104.4306023,13109,0.09408708661794662
1770157193.9832428,13223,0.0929003357887268
1770157285.842037,13337,0.09288287907838821
1770157376.4428406,13451,0.09246694296598434
1770157466.6739438,13565,0.09233483672142029
1770157556.885562,13679,0.09311170130968094
1770157647.546323,13793,0.09189605712890625
1770157738.3579497,13907,0.09147333353757858
1770157829.7524912,14021,0.09113612025976181
1770157920.7156422,14135,0.09113959223031998
1770158010.6335776,14249,0.09068286418914795
1770158100.0299983,14363,0.09042668342590332
1770158191.393505,14477,0.08988277614116669
1770158280.8344572,14591,0.08964481204748154
1770158371.3969383,14705,0.08917071670293808
1770158461.7322392,14819,0.08881303668022156
1770158551.7741473,14933,0.08892372995615005
1770158644.0742288,15047,0.08853477239608765
1770158735.2996733,15161,0.0879383385181427
1770158825.9761453,15275,0.08848748356103897
1770158918.657655,15389,0.08746175467967987
1770159010.5995898,15503,0.0871347114443779
1770159103.1839874,15617,0.08799086511135101
1770159193.4812374,15731,0.08697374165058136
1770159284.004587,15845,0.08688031882047653
1770159375.19441,15959,0.08655723184347153
1770159467.4233906,16073,0.0854567289352417
1770159558.5159926,16187,0.08598868548870087
1770159652.0444791,16301,0.08586570620536804
1770159742.3091774,16415,0.08565210551023483
1770159833.7769842,16529,0.08584325760602951
1770159925.9750428,16643,0.08542369306087494
1770160017.8473694,16757,0.0852045938372612
1770160108.195737,16871,0.08427257090806961
1770160198.278899,16985,0.08463723212480545
1770160290.281918,17099,0.08386794477701187
1770160381.510673,17213,0.08384736627340317
1770160472.3917356,17327,0.08437661826610565
1770160562.4647875,17441,0.08355139940977097
1770160653.1468923,17555,0.08341199904680252
1770160743.5592062,17669,0.08242149651050568
1770160834.326925,17783,0.08323037624359131
1770160926.975397,17897,0.08266988396644592
1770161020.5371768,18011,0.08257963508367538
1770161111.909994,18125,0.08245090395212173
1770161202.7286773,18239,0.08246133476495743
1770161294.6932938,18353,0.08107469975948334
1770161388.1282475,18467,0.08120029419660568
1770161480.0328267,18581,0.08115935325622559
1770161571.381908,18695,0.08099474757909775
1770161665.0533524,18809,0.08153935521841049
1770161756.5936048,18923,0.08095336705446243
1770161848.6202688,19037,0.08068665862083435
1770161938.7513807,19151,0.08098575472831726
1770162029.9260654,19265,0.08012913167476654
1770162120.168353,19379,0.08057399094104767
1770162210.319688,19493,0.0802098959684372
1770162302.3391678,19607,0.08036530017852783
1770162392.8535204,19721,0.08025888353586197
1770162483.4675238,19835,0.08011012524366379
1770162574.072324,19949,0.07966671884059906
1770162667.3466213,20063,0.07980341464281082
1770162758.6829028,20177,0.07820766419172287
1770162849.231377,20291,0.07911626994609833
1770162940.5482192,20405,0.07847315818071365
1770163031.778428,20519,0.07846080511808395
1770163123.7612963,20633,0.07802309840917587
1770163214.8360088,20747,0.07842742651700974
1770163304.3677611,20861,0.07776058465242386
1770163395.003538,20975,0.07857036590576172
1770163487.1199687,21089,0.07786823064088821
1770163579.0433612,21203,0.07724469155073166
1770163669.1650774,21317,0.0772978812456131
1770163759.6462276,21431,0.07691852748394012
1770163848.9024556,21545,0.07696065306663513
1770163939.4073734,21659,0.07671748101711273
1770164029.538583,21773,0.07668021321296692
1770164119.6699312,21887,0.07670292258262634
1770164210.7932587,22001,0.07582379132509232
1770164301.1988864,22115,0.0763704776763916
1770164391.5374825,22229,0.0764596089720726
1770164481.9559004,22343,0.0757579654455185
1770164573.6545832,22457,0.07562244683504105
1770164665.209887,22571,0.07589784264564514
1770164756.3634107,22685,0.07528343796730042
1770164846.9781787,22799,0.07580345124006271
1770164938.0701213,22913,0.0752810388803482
1770165030.5519648,23027,0.0745684877038002
1770165121.1870549,23141,0.07466774433851242
1770165215.2130647,23255,0.07439637184143066
1770165305.7919638,23369,0.07407345622777939
1770165396.6772609,23483,0.07410058379173279
1770165487.133224,23597,0.07404635101556778
1770165577.080708,23711,0.07434146106243134
1770165667.391157,23825,0.07401808351278305
1770165757.8081622,23939,0.07404567301273346
1770165849.1880584,24053,0.07349607348442078
1770165938.642919,24167,0.07373153418302536
1770166028.5361915,24281,0.07341501116752625
1770166119.018772,24395,0.0725230798125267
1770166209.5717192,24509,0.07247518002986908
1770166299.9877594,24623,0.07240977883338928
1770166391.7192268,24737,0.07293849438428879
1770166483.2164655,24851,0.07218052446842194
1770166574.9810324,24965,0.07276912033557892
1770166666.8852909,25079,0.23676128685474396
1770166758.644157,25193,0.15463660657405853
1770166849.9612508,25307,0.1592281013727188
1770166940.7125683,25421,0.1768338829278946
